ID,CreatedAt,Title,Excerpt
235876443,2021-04-29T14:03:02.077Z,活三遺失背包,今天晚上系際盃結束後，在活三舞台旁撿到一個黑色Nike書包，裡面有兩件白袍和iPad，遺失者請至體育器材室領取，領取時需在工讀生前解鎖iPad證明你是遺失者
235876222,2021-04-29T13:37:18.249Z,誰的黑色雨傘,校車上看到一把黑色雨傘，失主快去把它帶回家哦，上面寫rainsky的自動傘
235872866,2021-04-29T05:33:52.539Z,遺失行充,有沒有人有撿到黑色拉鍊盒子（像下面那個圖片）裡面裝一個銀色行動電源 兩條線 一條白色 一條粉紅及兩個豆腐頭，麻煩各位有看到的話跟我說一下在哪裡，謝謝
235872863,2021-04-29T05:33:33.303Z,醫師界好黑喔呵呵呵呵呵,
235869867,2021-04-28T15:59:42.214Z,長庚畢業音樂節—本是同庚生aka畢業別太急,【2021長庚畢業音樂節—本是同庚生aka畢業別太急】庚·生市集｜庚·聲舞台秀｜樂·浴派對，地   點｜長庚大學文物館外廣場，日   期｜市集｜5/25-27｜派對｜5/27，庚·生市集，結合文創、音
235869751,2021-04-28T15:47:20.100Z,#遺失物#錢包,#遺失物#錢包，施（失）主今天晚上6：30左右在「活三」或是「學餐茶羊」把阿嬤送她的成年禮「錢包錢包錢包」弄丟了，裡面有她近期所有的生活費、所有證件，還有遠距現任給她的愛的小物，看在失主的訊息文字表現
235869493,2021-04-28T15:20:23.978Z,該下載臺灣社交距離app吧,那大家拿iPhone的該下載「臺灣社交距離」app，開啟設定中的暴露通知了
235867943,2021-04-28T12:16:04.350Z,藍色錢包遺失,*皮包上有刻字如圖一*，*皮包外觀如以下圖！*，想請問同學們，4/28（三），在二醫/二醫臨床技能中心、圖書館、學餐、工院，有沒有人看見如下的錢包，裡面有許多重要證件！，如果撿到，可以告知我一聲，或者
235867222,2021-04-28T10:27:13.229Z,據德吃菸仔,雨天陽台抽菸味道很重，因為你抽菸 隔壁上下都必須關窗，太爽了吧
235866315,2021-04-28T08:08:18.484Z,林口康橋國際學校2學生驗出抗體陽性！ 校方宣佈全面停課,感覺這次疫情討論度沒有部桃高，但殊不知已經到你我身邊了，希望不要擴大
235866118,2021-04-28T07:38:59.987Z,誰在抽煙,到底是誰在明德四樓靠木棧道那側偷抽煙，過份了喔
235865701,2021-04-28T06:34:03.016Z,放映室的低能猴子閉嘴不要叫🙉,從下午2.到圖書館五樓坐著就一直聽到猴子的發情聲，真的有夠低能在放映室打傳說還鬼吼鬼叫素質超低，到底是哪個系的，我還看到有幾個母猴一邊說很吵一邊推開門走進去，結果進去了裡面的還是在叫 真的很可憐要交配
235863251,2021-04-27T19:20:54.919Z,生醫系花,聽說生醫是不是超多妹子，到底誰才生醫第一正呢，我支持生醫“尤”物，有夠漂亮，還有她的室友，組成三公主，各各都好正
235861793,2021-04-27T15:22:23.486Z,車燈沒關3201,3201車主，這台車至少閃了兩個小時了，明天不想發不動 趕快出來關
235858816,2021-04-27T08:44:32.600Z,台積說明會,可以問問各位30cm 34D，今天的台積校園說明會內容流程大概是如何嗎？ 剛好有事卡到沒辦法去聽，謝謝大大先進
235858002,2021-04-27T06:50:24.514Z,尋找錢包跟AirPods pro,4/27早上遺失一個champion 錢包，旁邊掛了一個藍色殼的AirPods pro 希望有撿到的好心人可以幫忙送到學務處，謝謝
235857866,2021-04-27T06:28:05.912Z,延畢還是休學,小弟今年轉進來，想問問學長姐過去的心得，要補學分又衝堂，後面課重有實習，可能延畢一年吧，會想問是如何安排選課，最近內心很折磨絕望，第一次po校板，有違規就刪文，（小花墨墨）
235857221,2021-04-27T04:45:07.701Z,長庚大學出小偷,聯合社辦的各位（足球、圍棋、陸聯、北清、音游），因為你們也是社辦經常出入者所以才標上你們，或著是有陌生人進來，最好趕快自首，那是我們的社費，雖然社辦裡面沒有監視器，但是社辦外面走廊有監視器，我的就一個
235854751,2021-04-26T16:36:40.419Z,#代po #問卷 #有抽獎,（幫西屯泡芙所炫代po），《填問卷！現金、電影票任你抽》大家好！我們是 #國立臺北大學統計系 的學生，目前正進行專題，研究於 #循環經濟智慧回收機 等方面，希望透過問卷了解「臺灣民眾對智慧回收機的看法
235851385,2021-04-26T09:46:06.800Z,各位有沒有看過這種耍老千的系,真的必須要自婊一下，真的太誇張，各位有看過在一個月內自打嘴巴的嗎？事情是這樣，3月底的時候公告說鼓勵我們自己找實習站什麼系上實習站短缺什麼有的沒的，啊現在說要系上設的站滿95%才開放自己找的？真的太誇
235850465,2021-04-26T07:23:10.722Z,看你停的這麼帥，幫你拍張照,停的那麼帥還擋住了大家停車的路，想必是希望大家都能看看你的帥車吧！，不拍下來讓大家欣賞怎麼行ㄋ，後輪記得去換
235848706,2021-04-26T02:41:28.155Z,暑修核心通識,這次暑假會開3堂核心，但是要一堂課要滿20人才能開課，所以想要調查一下大家的選擇，下面留言按愛心～
235844814,2021-04-25T12:01:03.631Z,臨演機會！#打工,想當臨演的同學 這裡有一個滿不錯的機會，雖然$沒有很多 但是可以看到楊祐寧 9m88等明星，以及在優質台劇中入鏡，他們缺大學生臨演 角色內容簡單 不用說話，有興趣私訊粉專！，Ps.會給車馬費，IG粉專
235843406,2021-04-25T07:59:27.702Z,冷凍冷藏宅配,請問大家有沒有訂過需要冷藏或冷凍的宅配到宿舍？舍監會幫忙簽收嗎？還是自己收呢？
235843291,2021-04-25T07:36:32.919Z,📢府城週,哈嘍，府城週的預購已經開跑一段時間了，你 / 妳  填表單了嗎？最後幾天，把握機會 ！，這次南友會販售了古早味的連德堂煎餅；讓你停不下來一口接一口的章成麥芽餅；不能缺席的冰淇淋泡芙，除了常見的口味，這
235839651,2021-04-24T15:26:53.815Z,林口湯姆熊,
235837015,2021-04-24T08:10:59.692Z,林長爆了！,
235836536,2021-04-24T06:41:56.763Z,校慶暨國際週 ft.韓研社,校慶暨國際週，4/26（一）~4/29（四） 17：30~18：30，韓研來學餐賣韓國泡麵啦～～一碗10元好吃不貴，有嚼勁的韓國泡麵現場煮給你吃，喜歡吃辣的有韓國經典泡麵辛拉麵，想嘗試韓國炸醬麵風味的
235830300,2021-04-23T08:28:47.339Z,逢甲夜市,今天晚上逢甲夜市誰要
235829476,2021-04-23T06:08:14.954Z,同學你的學生證,你的學生證掉了 科大的朋友說在機捷撿到的！
235828662,2021-04-23T03:35:59.471Z,徵護理系 李絳桃老師工讀生,1.時薪：依規定每小時160元，2.科系不限，希望是大二以上（含），3.協助研究計畫之相關文書工作（PPT、Excel、SPSS…等），4.完成交辦事項，5.請附上成績單、履歷，6.聯絡人請洽：紀嘉惠
235828512,2021-04-23T03:08:43.421Z,這次即將舉行的畢業典禮爛透了,既然是學弟妹們選出來的，那我也認了，只是我認為這種重要性的活動，不應該讓人用投票的，（況且我們系所是完全沒有接受到任何投票的信息，看底下留言有些系所也沒有接收到，另外統計數據又在哪裡？投票率多少？都應
235828487,2021-04-23T03:05:08.637Z,用手調便當,剛剛經過管院賣便當那裡，看到老闆直接用手調便當，三小，⋯ʕ •ᴥ•ʔ
235825795,2021-04-22T14:46:24.410Z,蘊德樓洗衣,同學們，洗完衣服要記得拿，不要讓大家因為你等半天，還要一直去洗衣房看你到底把衣服拿走了沒，你如果怕自己忘記可以放一個洗衣籃，人家要洗還可以先把你的衣服拿起來，不要以為把衣服放下去、投錢就沒事了，今天是
235825775,2021-04-22T14:44:25.396Z,蘊德樓下,蘊德樓下那台車，您是不知道有熄火這種東西嗎？高中生膩？
235825773,2021-04-22T14:44:21.344Z,今天揪夜唱,有人今天想去夜唱嗎
235823571,2021-04-22T09:35:44.542Z,早上在好漢坡提醒我的男同學,今天一早很謝謝你的幫助~~，不然我都不知道發生這種丟臉的事（內褲外穿），後來你走滿快還沒跟你好好道謝
235823533,2021-04-22T09:30:53.960Z,學校不給選深耕？,如題，小妹我學期初選了所有的藝術類深耕，好死不死一個都沒抽到，第七週加選也是一大早就加選無限電人聲的那門，結果今天很快樂的打開系統想看地點在哪裡卻發現，他媽的「該學期您尚未參加任何活動」有人跟我一樣加
235823440,2021-04-22T09:19:45.023Z,求卦賓利大佬,下午大概17：12左右一台黑Bentley Continental GT開出學校剛好擦身而過，有誰知道是哪個系的大佬嗎
235823276,2021-04-22T08:53:21.791Z,圖書館清理位子的時間,請問圖書館二樓什麼時候會清佔位，聽說五點以後就不會有人來了對不對？求解？有事放了點書先走，希望館員不要再亂拿了
235823180,2021-04-22T08:39:31.436Z,校內喝酒、組品酒會,跟各位喝酒前輩請教一下，我們學校校內喝酒到底會不會被處罰呢？之前家聚的時候聽學長說前幾年學務處規定說宿舍禁止喝酒（還是酗酒？）這規定學校有認真在實施嗎？那離開宿舍在社辦喝ok嗎？之前上過一堂品酒課，發
235821629,2021-04-22T04:39:27.574Z,早上在好漢坡提醒我的女同學,今天一早很謝謝你的幫助~~，不然我都不知道發生這種丟臉的事，後來你走滿快還沒跟你好好道謝
235820915,2021-04-22T02:24:55.376Z,電子系大一怎麼屁孩一堆,請問是電子系大一屁還是整個電子系都屁
235820517,2021-04-22T00:39:56.842Z,喝蠻牛的人暈嗎,
235817881,2021-04-21T13:55:33.000Z,有人的錢包掉了嗎？,在據德樓旁邊的石椅上看到的，我擔心會不見就先拿去給舍爸保管囉，如果會被門卡住進不來，可以下面留言要去拿，我在幫忙開門喔~
235817821,2021-04-21T13:46:57.074Z,工商週,4/26～4/30號在學餐，來吃炸湯圓就對了啦～哦對了！也可以順便帶幾瓶彈珠汽水走！
235817513,2021-04-21T13:10:10.693Z,健身房素質,最近在健身房看到很多，平常完全沒看過的人，不知道是辦了很少來，還是期中無聊借卡來玩玩看，墊子用了不放回去，槓片練完就擺在那裡，你是有付服務費嗎，沒有人幫你放啦，還不知道是不是有人在用，基本的禮儀做不到
235816434,2021-04-21T10:42:41.068Z,這是電梯的新功能嗎？,最近電梯剛整修好，是不是增加了這個功能 ，讓裡頭的人可以知道幾樓會停，還是只是我單純遇到屁孩🤔
235815520,2021-04-21T08:22:44.003Z,遺失學生證～已經拿到教務處了～,在工院外撿到的，～～～
